Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
GO_FORMATION_OF_TRANSLATION_PREINITIATION_COMPLEX	20	0.33052	0.040959	0.54563	0.66948	0.96004	1	0.36706	0.42158	0.76363	16	0.39257	0.63037	1	4	0.26504	0.2038	0.52887
GO_CHEMOKINE_MEDIATED_SIGNALING_PATHWAY	66	0.53733	0.96404	1	0.46267	0.036963	0.15542	0.42314	0.87413	0.95673	34	0.51258	0.996	1	32	0.32812	0.1029	0.38478
GO_POSITIVE_REGULATION_OF_INTERFERON_BETA_PRODUCTION	30	0.43198	0.32368	1	0.56802	0.67732	0.87623	0.42835	0.79321	0.92786	16	0.33654	0.34765	0.97861	14	0.53326	0.93706	0.97947
GO_NEGATIVE_REGULATION_OF_LEUKOCYTE_MIGRATION	29	0.52414	0.83716	1	0.47586	0.16384	0.38556	0.25887	0.020979	0.28373	15	0.33024	0.31369	0.95895	14	0.1824	0.003996	0.073233
GO_REGULATION_OF_PROTEIN_SECRETION	368	0.4585	0.47453	1	0.5415	0.52647	0.76297	0.3647	0.14785	0.53207	205	0.35528	0.28771	0.95895	163	0.37654	0.15984	0.4673
GO_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION	205	0.46146	0.50849	1	0.53854	0.49251	0.73536	0.38299	0.50849	0.80416	117	0.39194	0.77423	1	88	0.3711	0.2048	0.5296
GO_REGULATION_OF_NATURAL_KILLER_CELL_ACTIVATION	26	0.4412	0.3966	1	0.5588	0.6044	0.82091	0.33998	0.26573	0.6484	15	0.32606	0.29371	0.95895	11	0.35896	0.32967	0.63677
GO_RESPONSE_TO_INSULIN	198	0.50757	0.97003	1	0.49243	0.030969	0.13919	0.35903	0.15684	0.54362	99	0.37417	0.59441	1	99	0.34389	0.037962	0.25091
GO_POSITIVE_REGULATION_OF_FILOPODIUM_ASSEMBLY	23	0.56064	0.92707	1	0.43936	0.073926	0.23954	0.35145	0.32967	0.70682	10	0.39365	0.64535	1	13	0.31899	0.16883	0.48029
GO_REGULATION_OF_MUSCLE_CELL_APOPTOTIC_PROCESS	42	0.58607	0.99201	1	0.41393	0.008991	0.061266	0.3844	0.52647	0.81035	16	0.41797	0.74326	1	26	0.36374	0.2967	0.61232
GO_POSITIVE_REGULATION_OF_NIK_NF_KAPPAB_SIGNALING	29	0.51855	0.81419	1	0.48145	0.18681	0.41477	0.36804	0.41159	0.75881	12	0.28122	0.16683	0.90613	17	0.42932	0.65235	0.84177
GO_REGULATION_OF_CATABOLIC_PROCESS	706	0.49753	0.998	1	0.50247	0.002997	0.029348	0.36854	0.11588	0.50152	359	0.37423	0.64835	1	347	0.36266	0.01998	0.17722
GO_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS	155	0.61045	1	1	0.38955	0.000999	0.013594	0.34422	0.06993	0.42965	56	0.39815	0.77722	1	99	0.31371	0.005994	0.093604
GO_NEGATIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION	60	0.56877	0.99001	1	0.43123	0.010989	0.069939	0.33164	0.11289	0.49778	24	0.33648	0.29471	0.95895	36	0.32841	0.096903	0.37666
GO_NEGATIVE_REGULATION_OF_CYTOKINE_BIOSYNTHETIC_PROCESS	28	0.5798	0.97203	1	0.4202	0.028971	0.13318	0.34004	0.23477	0.62323	12	0.41626	0.71129	1	16	0.28288	0.065934	0.32527
GO_ROSTROCAUDAL_NEURAL_TUBE_PATTERNING	11	0.40313	0.26873	1	0.59687	0.73227	0.91329	0.33689	0.31469	0.69693	6	0.21456	0.11089	0.82972	5	0.4837	0.73826	0.89508
GO_B_CELL_ACTIVATION	112	0.44397	0.33367	1	0.55603	0.66733	0.86863	0.44314	0.98302	0.99129	63	0.40539	0.84216	1	49	0.49166	0.98701	1
GO_CELL_DEATH_IN_RESPONSE_TO_OXIDATIVE_STRESS	18	0.55585	0.87612	1	0.44415	0.12488	0.32953	0.37956	0.48152	0.79376	8	0.42766	0.69431	1	10	0.34108	0.28671	0.60008
GO_REGULATION_OF_NEURON_DIFFERENTIATION	529	0.4785	0.90909	1	0.5215	0.091908	0.27622	0.3708	0.21279	0.60315	275	0.35347	0.21279	0.95611	254	0.38957	0.3047	0.61931
GO_NEGATIVE_REGULATION_OF_INTERFERON_GAMMA_PRODUCTION	33	0.57223	0.96803	1	0.42777	0.032967	0.14551	0.30803	0.076923	0.43916	12	0.24718	0.085914	0.80162	21	0.3428	0.1958	0.51968
GO_REGULATION_OF_FIBRINOLYSIS	14	0.85708	1	1	0.14292	0.000999	0.013594	0.15888	0.000999	0.062416	2	0.55567	0.81918	1	12	0.092752	0.000999	0.030556
GO_NEGATIVE_REGULATION_OF_NF_KAPPAB_TRANSCRIPTION_FACTOR_ACTIVITY	61	0.47853	0.66833	1	0.52147	0.33267	0.5849	0.41808	0.81518	0.93386	30	0.36473	0.45554	1	31	0.46971	0.88911	0.9634
GO_PROTEIN_POLYUBIQUITINATION	240	0.4731	0.73327	1	0.5269	0.26773	0.51392	0.41072	0.92907	0.9757	129	0.40179	0.9021	1	111	0.42111	0.75624	0.90279
GO_RIBONUCLEOPROTEIN_COMPLEX_LOCALIZATION	112	0.38557	0.00999	0.26858	0.61443	0.99101	1	0.37669	0.41059	0.75827	76	0.37208	0.54545	1	36	0.38641	0.41159	0.69805
GO_REGULATION_OF_MRNA_3_END_PROCESSING	26	0.63659	0.99401	1	0.36341	0.006993	0.051274	0.2999	0.1029	0.48149	7	0.20713	0.080919	0.78648	19	0.33408	0.19181	0.51369
GO_REGULATION_OF_PEPTIDE_TRANSPORT	245	0.48193	0.82817	1	0.51807	0.17283	0.39559	0.33743	0.012987	0.23905	124	0.30975	0.020979	0.55345	121	0.36579	0.11888	0.40903
GO_POSITIVE_REGULATION_OF_ION_TRANSPORT	227	0.4862	0.85215	1	0.5138	0.14885	0.36602	0.34771	0.035964	0.34162	122	0.36748	0.51449	1	105	0.32473	0.005994	0.093604
GO_ATP_BIOSYNTHETIC_PROCESS	32	0.52197	0.83417	1	0.47803	0.16683	0.38931	0.37782	0.46653	0.78303	14	0.33916	0.39061	0.99436	18	0.40789	0.55744	0.78835
GO_CANONICAL_WNT_SIGNALING_PATHWAY	89	0.44113	0.32468	1	0.55887	0.67632	0.87545	0.29495	0.002997	0.1187	51	0.28207	0.017982	0.53487	38	0.31223	0.038961	0.25299
GO_ACUTE_INFLAMMATORY_RESPONSE	69	0.57204	0.995	1	0.42796	0.005994	0.046082	0.29264	0.008991	0.19268	31	0.37312	0.56643	1	38	0.22699	0.000999	0.030556
GO_NUCLEOBASE_METABOLIC_PROCESS	38	0.63843	0.999	1	0.36157	0.001998	0.022784	0.41184	0.73227	0.90727	14	0.57751	0.995	1	24	0.31519	0.086913	0.36159
GO_HUMORAL_IMMUNE_RESPONSE	133	0.53538	0.99001	1	0.46462	0.010989	0.069939	0.31023	0.001998	0.096338	66	0.37629	0.61339	1	67	0.24516	0.000999	0.030556
GO_NEGATIVE_REGULATION_OF_INTERLEUKIN_10_PRODUCTION	16	0.42266	0.2987	1	0.57734	0.7023	0.89549	0.40882	0.64935	0.8658	9	0.33701	0.38761	0.99384	7	0.50115	0.78921	0.91984
GO_PHAGOSOME_MATURATION	37	0.40904	0.18482	1	0.59096	0.81618	0.96781	0.37678	0.45355	0.77792	22	0.32295	0.24476	0.95895	15	0.45573	0.76324	0.90701
GO_REGULATION_OF_CELLULAR_RESPONSE_TO_HYPOXIA	10	0.63955	0.95405	1	0.36045	0.046953	0.17971	0.33703	0.34366	0.71807	3	0.3602	0.51249	1	7	0.32709	0.26673	0.58188
GO_REGULATION_OF_FEMALE_GONAD_DEVELOPMENT	12	0.47714	0.57143	1	0.52286	0.42957	0.67911	0.36526	0.44356	0.776	5	0.18345	0.097902	0.81172	7	0.49512	0.77423	0.91031
GO_REGULATION_OF_THYMOCYTE_APOPTOTIC_PROCESS	12	0.48428	0.6004	1	0.51572	0.4006	0.65285	0.25541	0.078921	0.44485	6	0.22396	0.12587	0.84004	6	0.28686	0.22877	0.54784
GO_CHROMATIN_MODIFICATION	492	0.40527	0.000999	0.053392	0.59473	1	1	0.36818	0.14885	0.53207	308	0.34404	0.07992	0.78191	184	0.40859	0.68032	0.85961
GO_MYELOID_LEUKOCYTE_ACTIVATION	94	0.42832	0.17882	1	0.57168	0.82218	0.97025	0.36355	0.28172	0.66227	56	0.34551	0.3017	0.95895	38	0.39013	0.43556	0.71203
GO_REACTIVE_NITROGEN_SPECIES_METABOLIC_PROCESS	17	0.74048	1	1	0.25952	0.000999	0.013594	0.27436	0.07992	0.44594	3	0.30673	0.3956	0.99558	14	0.26743	0.048951	0.28231
GO_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION	184	0.46506	0.58641	1	0.53494	0.41459	0.6637	0.36505	0.20879	0.60104	101	0.35798	0.36863	0.9842	83	0.37365	0.23377	0.55176
GO_POSITIVE_REGULATION_OF_CELL_DIVISION	114	0.44013	0.26573	1	0.55987	0.73526	0.91329	0.37017	0.36563	0.73061	65	0.34268	0.25774	0.95895	49	0.40665	0.57043	0.79806
GO_EYELID_DEVELOPMENT_IN_CAMERA_TYPE_EYE	13	0.46747	0.52248	1	0.53253	0.47852	0.72374	0.28488	0.13187	0.51584	7	0.27554	0.21978	0.95731	6	0.29577	0.24176	0.55786
GO_PIGMENT_BIOSYNTHETIC_PROCESS	47	0.53915	0.94705	1	0.46085	0.053946	0.19712	0.36105	0.34366	0.71807	24	0.45103	0.9031	1	23	0.26714	0.016983	0.1641
GO_ERBB_SIGNALING_PATHWAY	77	0.4963	0.8022	1	0.5037	0.1988	0.42872	0.37949	0.47552	0.78916	38	0.36383	0.44955	1	39	0.39475	0.46154	0.72922
GO_EMBRYONIC_ORGAN_MORPHOGENESIS	274	0.42621	0.036963	0.51889	0.57379	0.96404	1	0.36322	0.16384	0.54851	160	0.3284	0.056943	0.73378	114	0.4121	0.68631	0.86007
GO_REPRODUCTIVE_SYSTEM_DEVELOPMENT	386	0.48185	0.89011	1	0.51815	0.11089	0.30421	0.34384	0.007992	0.18275	205	0.34808	0.18182	0.92199	181	0.33904	0.002997	0.062111
GO_CYTOSOLIC_CALCIUM_ION_TRANSPORT	52	0.54174	0.95704	1	0.45826	0.043956	0.17332	0.39557	0.63437	0.85925	25	0.45821	0.92607	1	27	0.33757	0.15684	0.46312
GO_REGULATION_OF_SPINDLE_ORGANIZATION	19	0.36278	0.11389	0.94607	0.63722	0.88711	1	0.38223	0.51648	0.80645	12	0.29367	0.1998	0.93114	7	0.53404	0.85614	0.95044
GO_POSITIVE_REGULATION_OF_CATABOLIC_PROCESS	384	0.51682	1	1	0.48318	0.000999	0.013594	0.37869	0.41059	0.75827	185	0.3901	0.84116	1	199	0.36808	0.065934	0.32527
GO_PHOSPHOLIPID_SCRAMBLING	13	0.44739	0.44256	1	0.55261	0.55844	0.78969	0.46306	0.80919	0.93381	8	0.47824	0.83716	1	5	0.43877	0.63237	0.82975
GO_GLIOGENESIS	166	0.48845	0.87413	1	0.51155	0.12687	0.33283	0.40129	0.80519	0.93333	88	0.41353	0.92607	1	78	0.38748	0.38162	0.67403
GO_PEPTIDYL_THREONINE_MODIFICATION	44	0.45887	0.4955	1	0.54113	0.50549	0.74572	0.41593	0.76823	0.91926	26	0.43618	0.88212	1	18	0.38668	0.45255	0.72144
GO_MITOCHONDRIAL_FISSION	11	0.59174	0.88412	1	0.40826	0.11688	0.31596	0.40804	0.61339	0.85057	6	0.62556	0.98202	1	5	0.14701	0.033966	0.23501
GO_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA_	19	0.298	0.01998	0.36324	0.702	0.98102	1	0.38764	0.54845	0.81736	14	0.31033	0.25774	0.95895	5	0.6041	0.92507	0.97591
GO_NEGATIVE_REGULATION_OF_SPROUTING_ANGIOGENESIS	11	0.60423	0.91309	1	0.39577	0.087912	0.26784	0.39124	0.54446	0.8165	4	0.44959	0.69031	1	7	0.35789	0.36164	0.66166
GO_POLYOL_TRANSPORT	17	0.657	0.996	1	0.343	0.004995	0.040882	0.36105	0.4036	0.75538	4	0.30948	0.37063	0.9842	13	0.37691	0.37762	0.67178
GO_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION_BY_CALCIUM_ION_SIGNALING	23	0.49219	0.68032	1	0.50781	0.32068	0.57222	0.51806	0.98302	0.99129	13	0.55985	0.98202	1	10	0.46373	0.77123	0.91031
GO_ANTIGEN_PROCESSING_AND_PRESENTATION	207	0.42971	0.092907	0.84627	0.57029	0.90809	1	0.37775	0.41858	0.76256	122	0.35285	0.31169	0.95895	85	0.41348	0.64336	0.83527
GO_CELLULAR_AMINO_ACID_CATABOLIC_PROCESS	107	0.71922	1	1	0.28078	0.000999	0.013594	0.26479	0.000999	0.062416	25	0.36489	0.4995	1	82	0.23427	0.000999	0.030556
GO_TELENCEPHALON_GLIAL_CELL_MIGRATION	18	0.41295	0.25974	1	0.58705	0.74126	0.91467	0.35272	0.33367	0.70956	11	0.32797	0.33766	0.97557	7	0.39163	0.46853	0.73322
GO_MAINTENANCE_OF_LOCATION	134	0.57028	1	1	0.42972	0.000999	0.013594	0.36312	0.23776	0.62483	51	0.34798	0.32168	0.96677	83	0.37242	0.22378	0.5433
GO_NEPHRON_EPITHELIUM_DEVELOPMENT	92	0.50127	0.86713	1	0.49873	0.13387	0.34286	0.37778	0.44456	0.776	44	0.35214	0.35664	0.97933	48	0.40128	0.53846	0.78042
GO_NEGATIVE_REGULATION_OF_RECEPTOR_ACTIVITY	29	0.60389	0.98501	1	0.39611	0.015984	0.090788	0.34232	0.26074	0.64834	10	0.34766	0.46054	1	19	0.33951	0.21179	0.53735
GO_KERATINOCYTE_DIFFERENTIATION	79	0.43142	0.24675	1	0.56858	0.75425	0.92452	0.44211	0.96004	0.98468	44	0.37603	0.55245	1	35	0.52518	0.99001	1
GO_REGULATION_OF_NITRIC_OXIDE_SYNTHASE_BIOSYNTHETIC_PROCESS	18	0.59283	0.93706	1	0.40717	0.063936	0.21733	0.31696	0.18581	0.57401	6	0.25393	0.1998	0.93114	12	0.34847	0.27572	0.58875
GO_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	55	0.51141	0.87113	1	0.48859	0.12987	0.33849	0.42332	0.83117	0.93962	31	0.50868	0.997	1	24	0.31307	0.07992	0.35233
GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	51	0.59773	0.998	1	0.40227	0.002997	0.029348	0.29403	0.014985	0.25275	18	0.27677	0.11988	0.83803	33	0.30344	0.026973	0.20519
GO_POSITIVE_REGULATION_OF_SYNAPSE_MATURATION	9	0.29376	0.063936	0.70203	0.70624	0.93706	1	0.29609	0.21179	0.60185	7	0.28232	0.23477	0.95731	2	0.3443	0.40959	0.69599
GO_PERIPHERAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION	13	0.48503	0.5974	1	0.51497	0.4036	0.65605	0.50924	0.90709	0.96811	7	0.51649	0.9031	1	6	0.50078	0.79421	0.92135
GO_CELL_REDOX_HOMEOSTASIS	61	0.56911	0.99201	1	0.43089	0.008991	0.061266	0.37223	0.39461	0.75192	26	0.42571	0.84316	1	35	0.33251	0.1019	0.38298
GO_POSITIVE_REGULATION_OF_SMOOTH_MUSCLE_CONTRACTION	29	0.55735	0.92707	1	0.44265	0.073926	0.23954	0.3928	0.5984	0.84632	13	0.45067	0.82218	1	16	0.34578	0.25475	0.56888
GO_NEGATIVE_REGULATION_OF_GLIAL_CELL_PROLIFERATION	11	0.61007	0.92008	1	0.38993	0.080919	0.25404	0.2799	0.14286	0.52652	4	0.31256	0.38462	0.99279	7	0.26123	0.11688	0.40562
GO_POSITIVE_REGULATION_OF_PROTEIN_SECRETION	201	0.44206	0.23776	1	0.55794	0.76324	0.93117	0.36654	0.25475	0.6439	121	0.37762	0.66234	1	80	0.34978	0.056943	0.30464
GO_POSITIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION	167	0.47588	0.72627	1	0.52412	0.27473	0.52058	0.39386	0.69231	0.88939	89	0.38606	0.6963	1	78	0.40276	0.56244	0.79163
GO_REGULATION_OF_STEROID_HORMONE_SECRETION	20	0.48327	0.59041	1	0.51673	0.41059	0.65992	0.43317	0.76024	0.91717	12	0.49976	0.92507	1	8	0.33328	0.26074	0.57531
GO_RESPONSE_TO_KETONE	178	0.5524	0.999	1	0.4476	0.001998	0.022784	0.30785	0.002997	0.1187	76	0.31219	0.05994	0.73793	102	0.30461	0.000999	0.030556
GO_NEGATIVE_REGULATION_OF_PROTEIN_KINASE_B_SIGNALING	33	0.54162	0.91608	1	0.45838	0.084915	0.26231	0.34846	0.28472	0.66474	15	0.37487	0.53746	1	18	0.32645	0.16783	0.48022
GO_LYMPHANGIOGENESIS	11	0.7146	0.99101	1	0.2854	0.00999	0.065848	0.25187	0.07992	0.44594	2	0.12295	0.15884	0.88999	9	0.28052	0.11988	0.41087
GO_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	50	0.53476	0.93606	1	0.46524	0.064935	0.22005	0.36062	0.32567	0.70336	23	0.3806	0.57642	1	27	0.3436	0.17982	0.4935
GO_POSITIVE_REGULATION_OF_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	19	0.54462	0.85215	1	0.45538	0.14885	0.36602	0.47888	0.91808	0.97129	8	0.48713	0.85215	1	11	0.47288	0.77822	0.91211
GO_SENSORY_PERCEPTION_OF_TASTE	45	0.41652	0.17483	1	0.58348	0.82617	0.97264	0.36294	0.33067	0.70794	26	0.30421	0.14985	0.87849	19	0.4433	0.70829	0.87379
GO_FEAR_RESPONSE	28	0.64125	0.999	1	0.35875	0.001998	0.022784	0.38326	0.50849	0.80416	9	0.48006	0.84715	1	19	0.3374	0.2008	0.52416
GO_REGULATION_OF_CLATHRIN_MEDIATED_ENDOCYTOSIS	16	0.49479	0.62937	1	0.50521	0.37163	0.62445	0.33416	0.2987	0.67846	8	0.32375	0.33367	0.97098	8	0.34457	0.2997	0.61422
GO_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION	110	0.6245	1	1	0.3755	0.000999	0.013594	0.36185	0.26074	0.64834	41	0.47798	0.98601	1	69	0.29285	0.003996	0.073233
GO_LABYRINTHINE_LAYER_BLOOD_VESSEL_DEVELOPMENT	17	0.59264	0.94805	1	0.40736	0.052947	0.19395	0.31736	0.21179	0.60185	7	0.39606	0.64436	1	10	0.26226	0.081918	0.35549
GO_NEURON_NEURON_SYNAPTIC_TRANSMISSION	49	0.42254	0.23377	1	0.57746	0.76723	0.93399	0.38056	0.47053	0.78587	30	0.3676	0.47253	1	19	0.40102	0.51449	0.76364
GO_INNER_MITOCHONDRIAL_MEMBRANE_ORGANIZATION	16	0.55015	0.82817	1	0.44985	0.17283	0.39559	0.47877	0.8991	0.96525	8	0.57907	0.96903	1	8	0.37847	0.43257	0.71001
GO_CILIUM_MORPHOGENESIS	186	0.40191	0.006993	0.20819	0.59809	0.99401	1	0.4112	0.88312	0.95994	112	0.34819	0.25874	0.95895	74	0.50657	0.998	1
GO_ENERGY_COUPLED_PROTON_TRANSPORT_DOWN_ELECTROCHEMICAL_GRADIENT	23	0.52514	0.81518	1	0.47486	0.18581	0.41317	0.3863	0.53347	0.81334	10	0.35207	0.47253	1	13	0.41263	0.54146	0.78297
GO_POSITIVE_REGULATION_OF_PHOSPHOPROTEIN_PHOSPHATASE_ACTIVITY	15	0.61206	0.96503	1	0.38794	0.035964	0.1537	0.43777	0.75924	0.91696	5	0.49283	0.82118	1	10	0.41024	0.56344	0.79253
GO_CELLULAR_MODIFIED_AMINO_ACID_BIOSYNTHETIC_PROCESS	49	0.54446	0.95504	1	0.45554	0.045954	0.1785	0.35012	0.21479	0.60341	24	0.42734	0.81718	1	25	0.27598	0.017982	0.16754
GO_PROTEIN_LOCALIZATION_TO_VACUOLE	42	0.61173	0.998	1	0.38827	0.002997	0.029348	0.3874	0.54945	0.81736	14	0.4163	0.75624	1	28	0.37295	0.34965	0.65336
GO_METANEPHRIC_RENAL_VESICLE_MORPHOGENESIS	11	0.43377	0.37463	1	0.56623	0.62637	0.83794	0.19615	0.025974	0.30005	6	0.14171	0.021978	0.55345	5	0.26147	0.17982	0.4935
GO_NEGATIVE_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION	14	0.67919	0.98901	1	0.32081	0.011988	0.075111	0.28996	0.12987	0.51438	5	0.50768	0.85015	1	9	0.16901	0.010989	0.12593
GO_CELLULAR_RESPONSE_TO_HYDROGEN_PEROXIDE	60	0.57812	0.997	1	0.42188	0.003996	0.034622	0.34025	0.16184	0.54594	25	0.39579	0.68731	1	35	0.30058	0.027972	0.2078
GO_REGULATION_OF_ORGAN_GROWTH	71	0.57458	0.998	1	0.42542	0.002997	0.029348	0.36186	0.28671	0.66555	28	0.38006	0.56743	1	43	0.35001	0.13087	0.42708
GO_REGULATION_OF_SYNAPSE_ASSEMBLY	72	0.50055	0.83117	1	0.49945	0.16983	0.39116	0.41125	0.76723	0.91926	35	0.39556	0.68032	1	37	0.42608	0.68931	0.86212
GO_NEGATIVE_REGULATION_OF_NEUROTRANSMITTER_SECRETION	9	0.72804	0.99201	1	0.27196	0.008991	0.061266	0.43722	0.7043	0.89723	2	0.75992	0.95904	1	7	0.34502	0.31868	0.6304
GO_POSITIVE_REGULATION_OF_CELL_GROWTH	143	0.54644	0.996	1	0.45356	0.004995	0.040882	0.34021	0.053946	0.39554	60	0.32445	0.13287	0.84004	83	0.35161	0.07992	0.35233
GO_NEGATIVE_REGULATION_OF_OXIDOREDUCTASE_ACTIVITY	25	0.45469	0.45455	1	0.54531	0.54645	0.77994	0.31069	0.12787	0.51438	15	0.35006	0.41359	1	10	0.25164	0.061938	0.31757
GO_EMBRYONIC_DIGESTIVE_TRACT_DEVELOPMENT	32	0.46996	0.55744	1	0.53004	0.44356	0.69015	0.18954	0.000999	0.062416	16	0.12946	0.000999	0.15267	16	0.24961	0.020979	0.17997
GO_PROTEIN_O_LINKED_MANNOSYLATION	12	0.54737	0.82018	1	0.45263	0.18082	0.40613	0.4496	0.77223	0.91938	6	0.54435	0.91708	1	6	0.35485	0.39161	0.68029
GO_GUANOSINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	14	0.32562	0.075924	0.77425	0.67438	0.92507	1	0.3396	0.2967	0.6767	10	0.29359	0.25275	0.95895	4	0.45462	0.62837	0.82769
GO_BONE_MINERALIZATION	38	0.55932	0.96404	1	0.44068	0.036963	0.15542	0.31133	0.07992	0.44594	16	0.32308	0.28571	0.95895	22	0.30277	0.075924	0.345
GO_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY	200	0.52704	0.996	1	0.47296	0.004995	0.040882	0.37872	0.45654	0.77833	94	0.3966	0.79021	1	106	0.36287	0.1009	0.38182
GO_CELLULAR_RESPONSE_TO_ORGANIC_SUBSTANCE	1744	0.49263	1	1	0.50737	0.000999	0.013594	0.38174	0.44256	0.77566	897	0.38464	0.94006	1	847	0.37867	0.01998	0.17722
GO_OVULATION_CYCLE_PROCESS	79	0.57694	0.997	1	0.42306	0.003996	0.034622	0.33139	0.073926	0.43378	35	0.41909	0.82817	1	44	0.26162	0.002997	0.062111
GO_POSITIVE_REGULATION_OF_CELL_ADHESION	356	0.46234	0.53147	1	0.53766	0.46953	0.71575	0.37496	0.33866	0.71436	197	0.36719	0.48751	1	159	0.38457	0.31069	0.62433
GO_PROTEIN_LOCALIZATION_TO_CHROMATIN	11	0.3321	0.11289	0.94484	0.6679	0.88811	1	0.30275	0.18981	0.57632	7	0.18832	0.056943	0.73378	4	0.50301	0.73227	0.89073
GO_PROTEIN_O_LINKED_FUCOSYLATION	11	0.65493	0.97502	1	0.34507	0.025974	0.12363	0.38963	0.53646	0.81415	3	0.44906	0.66833	1	8	0.36734	0.37263	0.66772
GO_CEREBRAL_CORTEX_DEVELOPMENT	102	0.47101	0.6044	1	0.52899	0.3966	0.64968	0.33016	0.047952	0.38396	54	0.3126	0.086913	0.8025	48	0.3499	0.13487	0.43374
GO_ENDOCRINE_PANCREAS_DEVELOPMENT	40	0.48192	0.64935	1	0.51808	0.35165	0.60415	0.39839	0.63736	0.86016	21	0.39261	0.63536	1	19	0.40479	0.53147	0.7756
GO_REGULATION_OF_INTERLEUKIN_8_PRODUCTION	57	0.52281	0.91409	1	0.47719	0.086913	0.26626	0.39872	0.65135	0.86664	26	0.3909	0.67133	1	31	0.40527	0.55245	0.78595
GO_RNA_PHOSPHODIESTER_BOND_HYDROLYSIS	107	0.41183	0.060939	0.68092	0.58817	0.94006	1	0.35673	0.18182	0.57202	68	0.35515	0.35564	0.97933	39	0.35947	0.21479	0.53885
GO_ORGANIC_ACID_METABOLIC_PROCESS	904	0.58944	1	1	0.41056	0.000999	0.013594	0.33706	0.000999	0.062416	358	0.38884	0.9011	1	546	0.30312	0.000999	0.030556
GO_REGULATION_OF_EXCRETION	27	0.59555	0.98202	1	0.40445	0.018981	0.10012	0.36569	0.38561	0.74276	11	0.45607	0.82817	1	16	0.30356	0.11089	0.39918
GO_AROMATIC_AMINO_ACID_FAMILY_METABOLIC_PROCESS	27	0.63377	0.998	1	0.36623	0.002997	0.029348	0.30214	0.077922	0.44373	9	0.35453	0.44755	1	18	0.27595	0.048951	0.28231
GO_CYCLIC_NUCLEOTIDE_MEDIATED_SIGNALING	45	0.48043	0.63137	1	0.51957	0.36963	0.62298	0.37511	0.43956	0.77346	24	0.37746	0.54745	1	21	0.37242	0.34266	0.64723
GO_POSITIVE_REGULATION_OF_PHOSPHOLIPID_METABOLIC_PROCESS	40	0.41463	0.21479	1	0.58537	0.78621	0.94696	0.3207	0.1029	0.48149	25	0.31997	0.22677	0.95731	15	0.32192	0.16983	0.48103
GO_REGULATION_OF_ENDOCRINE_PROCESS	47	0.49188	0.74625	1	0.50812	0.25475	0.4987	0.35561	0.29471	0.67492	27	0.42501	0.82318	1	20	0.26193	0.025974	0.20139
GO_RESPONSE_TO_INSECTICIDE	12	0.555	0.84316	1	0.445	0.15784	0.37889	0.44187	0.74825	0.91238	7	0.61588	0.98901	1	5	0.19825	0.077922	0.35049
GO_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING	10	0.63988	0.95405	1	0.36012	0.046953	0.17971	0.15678	0.004995	0.15073	3	0.060906	0.032967	0.62174	7	0.19786	0.026973	0.20519
GO_QUATERNARY_AMMONIUM_GROUP_TRANSPORT	18	0.61261	0.97303	1	0.38739	0.027972	0.12993	0.35066	0.32567	0.70336	6	0.36382	0.51548	1	12	0.34408	0.26074	0.57531
GO_EXIT_FROM_MITOSIS	12	0.44443	0.44356	1	0.55557	0.55744	0.78928	0.42768	0.6963	0.89246	6	0.31654	0.35664	0.97933	6	0.53883	0.86713	0.95404
GO_REGULATION_OF_SYMBIOSIS_ENCOMPASSING_MUTUALISM_THROUGH_PARASITISM	192	0.48607	0.85215	1	0.51393	0.14885	0.36602	0.38544	0.57742	0.83598	102	0.39537	0.83616	1	90	0.37417	0.21578	0.53885
